condition,rich_media,synthetic_media,30c,37c,dglucose,glyetoh,ros,h2o2,diamide,osmolytes,sorbitol,kcl,shuffle,ancestry,stress
evo_sceg-30,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
evo_sdc,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1
evo_sdc-37,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0
evo_sdc-diam,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0
evo_sdc-h2o2,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0
evo_sdc-kcl,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0
evo_sdc-kcl-diam,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0
evo_sdc-kcl-h2o2,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0
evo_sdc-sorb,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0
evo_ypd,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
evo_ypd-37,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
evo_ypd-diam,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
evo_ypd-h2o2,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0
evo_ypd-kcl,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
evo_ypd-kcl-diam,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0
evo_ypd-kcl-h2o2,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
evo_ypd-sorb,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0
evo_ypeg-30,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
anc_sceg-30,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
anc_sceg-37,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
anc_sdc,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
anc_sdc-37,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
anc_sdc-diam,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0
anc_sdc-h2o2,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
anc_sdc-kcl,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0
anc_sdc-kcl-diam,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0
anc_sdc-kcl-h2o2,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0
anc_sdc-sorb,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
anc_ypd,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
anc_ypd-37,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
anc_ypd-diam,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
anc_ypd-h2o2,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0
anc_ypd-kcl,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
anc_ypd-kcl-diam,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0
anc_ypd-kcl-h2o2,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0
anc_ypd-sorb,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
anc_ypeg-30,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
anc_ypeg-37,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
