X,Y_anc_sceg-30,Y_anc_sceg-37,Y_anc_sdc,Y_anc_sdc-37,Y_anc_sdc-diam,Y_anc_sdc-h2o2,Y_anc_sdc-kcl,Y_anc_sdc-kcl-diam,Y_anc_sdc-kcl-h2o2,Y_anc_sdc-sorb,Y_anc_ypd,Y_anc_ypd-37,Y_anc_ypd-diam,Y_anc_ypd-h2o2,Y_anc_ypd-kcl,Y_anc_ypd-kcl-diam,Y_anc_ypd-kcl-h2o2,Y_anc_ypd-sorb,Y_anc_ypeg-30,Y_anc_ypeg-37
-4.554808,3.7081137,,,,,,,,,,,,,,,,,,,
-6.936514,4.1206775,,,,,,,,,,,,,,,,,,,
-5.4981656,3.590517,,,,,,,,,,,,,,,,,,,
-5.5572553,2.3928978,,,,,,,,,,,,,,,,,,,
-4.544849,3.4064202,,,,,,,,,,,,,,,,,,,
-5.2429223,2.4322827,,,,,,,,,,,,,,,,,,,
-4.857413,3.5931282,,,,,,,,,,,,,,,,,,,
-7.4893904,3.809543,,,,,,,,,,,,,,,,,,,
-4.7111893,4.2024574,,,,,,,,,,,,,,,,,,,
-5.142379,3.964251,,,,,,,,,,,,,,,,,,,
-5.1181455,3.118442,,,,,,,,,,,,,,,,,,,
-6.6312876,4.292101,,,,,,,,,,,,,,,,,,,
-5.2457495,3.527435,,,,,,,,,,,,,,,,,,,
-5.5430055,5.0043826,,,,,,,,,,,,,,,,,,,
-7.240962,3.721445,,,,,,,,,,,,,,,,,,,
-5.18938,3.6841161,,,,,,,,,,,,,,,,,,,
-5.9878135,3.892045,,,,,,,,,,,,,,,,,,,
-5.021622,2.2921247,,,,,,,,,,,,,,,,,,,
-4.2453737,5.1847825,,,,,,,,,,,,,,,,,,,
-5.686287,4.715418,,,,,,,,,,,,,,,,,,,
-4.576586,3.510046,,,,,,,,,,,,,,,,,,,
-5.0698953,4.2898545,,,,,,,,,,,,,,,,,,,
-5.0293217,2.521966,,,,,,,,,,,,,,,,,,,
-6.3264174,4.542635,,,,,,,,,,,,,,,,,,,
-5.3711605,1.8993647,,,,,,,,,,,,,,,,,,,
-4.753697,2.5146918,,,,,,,,,,,,,,,,,,,
-4.864524,3.5881495,,,,,,,,,,,,,,,,,,,
-4.676955,4.2834225,,,,,,,,,,,,,,,,,,,
-7.0339913,4.4029236,,,,,,,,,,,,,,,,,,,
-5.719539,3.2229757,,,,,,,,,,,,,,,,,,,
-6.258776,3.8544602,,,,,,,,,,,,,,,,,,,
-5.8223596,4.06625,,,,,,,,,,,,,,,,,,,
-5.036213,3.971124,,,,,,,,,,,,,,,,,,,
-6.0416365,4.2584906,,,,,,,,,,,,,,,,,,,
-5.0550838,4.300639,,,,,,,,,,,,,,,,,,,
-7.098621,3.9015362,,,,,,,,,,,,,,,,,,,
-5.4278584,4.3571067,,,,,,,,,,,,,,,,,,,
-7.1352663,4.361014,,,,,,,,,,,,,,,,,,,
-5.677296,4.0632415,,,,,,,,,,,,,,,,,,,
-6.262499,4.1768703,,,,,,,,,,,,,,,,,,,
-7.243018,5.2902617,,,,,,,,,,,,,,,,,,,
2.5564184,-3.9410803,,,,,,,,,,,,,,,,,,,
-5.2111607,4.1676307,,,,,,,,,,,,,,,,,,,
-6.901553,3.5149136,,,,,,,,,,,,,,,,,,,
-5.6608696,8.027143,,,,,,,,,,,,,,,,,,,
-6.8378043,4.244271,,,,,,,,,,,,,,,,,,,
-7.2789106,4.5725594,,,,,,,,,,,,,,,,,,,
-4.542656,3.2946165,,,,,,,,,,,,,,,,,,,
-6.010769,4.051845,,,,,,,,,,,,,,,,,,,
-5.312484,5.05031,,,,,,,,,,,,,,,,,,,
-5.8711286,3.9455092,,,,,,,,,,,,,,,,,,,
-5.7891073,2.9989762,,,,,,,,,,,,,,,,,,,
-5.8418937,2.7051342,,,,,,,,,,,,,,,,,,,
-4.8181024,4.4128633,,,,,,,,,,,,,,,,,,,
-4.869986,3.0491083,,,,,,,,,,,,,,,,,,,
-6.5546956,3.195379,,,,,,,,,,,,,,,,,,,
-5.3800893,8.385434,,,,,,,,,,,,,,,,,,,
-4.5827484,4.7180147,,,,,,,,,,,,,,,,,,,
-6.187519,4.6665425,,,,,,,,,,,,,,,,,,,
-6.3998737,5.0675344,,,,,,,,,,,,,,,,,,,
-3.9003048,3.0886235,,,,,,,,,,,,,,,,,,,
-7.1848016,4.2292457,,,,,,,,,,,,,,,,,,,
-6.0800643,3.0408423,,,,,,,,,,,,,,,,,,,
-5.695595,3.3221962,,,,,,,,,,,,,,,,,,,
-5.090278,4.3667803,,,,,,,,,,,,,,,,,,,
-6.360122,3.6335723,,,,,,,,,,,,,,,,,,,
-5.144563,3.2287169,,,,,,,,,,,,,,,,,,,
-6.5008035,3.541071,,,,,,,,,,,,,,,,,,,
-5.16693,2.485751,,,,,,,,,,,,,,,,,,,
-5.2195196,3.4487104,,,,,,,,,,,,,,,,,,,
-4.65403,3.9302728,,,,,,,,,,,,,,,,,,,
-5.3187304,3.6874774,,,,,,,,,,,,,,,,,,,
-5.785394,4.0139065,,,,,,,,,,,,,,,,,,,
-5.457226,3.4040577,,,,,,,,,,,,,,,,,,,
-5.8323517,4.2310653,,,,,,,,,,,,,,,,,,,
-4.3882823,3.194096,,,,,,,,,,,,,,,,,,,
-4.8351874,2.4406362,,,,,,,,,,,,,,,,,,,
-6.5932026,3.5446708,,,,,,,,,,,,,,,,,,,
-7.082709,4.2341204,,,,,,,,,,,,,,,,,,,
-7.1226554,5.1362553,,,,,,,,,,,,,,,,,,,
-5.6672297,4.9510474,,,,,,,,,,,,,,,,,,,
-5.0307655,4.114069,,,,,,,,,,,,,,,,,,,
-5.0383644,2.1385934,,,,,,,,,,,,,,,,,,,
-6.391429,3.0383487,,,,,,,,,,,,,,,,,,,
-5.0622425,4.124092,,,,,,,,,,,,,,,,,,,
-5.5152984,3.9232008,,,,,,,,,,,,,,,,,,,
-4.0820994,3.377163,,,,,,,,,,,,,,,,,,,
-4.8005857,3.4254785,,,,,,,,,,,,,,,,,,,
-2.2889786,5.6810575,,,,,,,,,,,,,,,,,,,
-5.301126,2.9813497,,,,,,,,,,,,,,,,,,,
2.8136086,6.496972,,,,,,,,,,,,,,,,,,,
-5.152564,3.8303587,,,,,,,,,,,,,,,,,,,
-4.8860884,3.8096838,,,,,,,,,,,,,,,,,,,
-5.5346723,4.4424863,,,,,,,,,,,,,,,,,,,
-5.330418,5.7138796,,,,,,,,,,,,,,,,,,,
-4.7327394,8.922549,,,,,,,,,,,,,,,,,,,
-6.9284844,3.4848814,,,,,,,,,,,,,,,,,,,
-5.823426,4.9582143,,,,,,,,,,,,,,,,,,,
-5.2088923,3.8609495,,,,,,,,,,,,,,,,,,,
-4.426584,3.3731606,,,,,,,,,,,,,,,,,,,
-5.9395704,4.270761,,,,,,,,,,,,,,,,,,,
-4.649085,3.0953748,,,,,,,,,,,,,,,,,,,
-6.7931867,4.4322066,,,,,,,,,,,,,,,,,,,
-4.639664,3.9112468,,,,,,,,,,,,,,,,,,,
-5.229068,3.684676,,,,,,,,,,,,,,,,,,,
-5.9886885,3.4490361,,,,,,,,,,,,,,,,,,,
-5.9587526,4.0255675,,,,,,,,,,,,,,,,,,,
-6.4113793,4.2940593,,,,,,,,,,,,,,,,,,,
-5.8640103,3.1749198,,,,,,,,,,,,,,,,,,,
-6.6759467,4.592051,,,,,,,,,,,,,,,,,,,
-5.4433527,3.361857,,,,,,,,,,,,,,,,,,,
-6.061462,3.2540538,,,,,,,,,,,,,,,,,,,
-4.6775575,3.8780975,,,,,,,,,,,,,,,,,,,
-7.240723,4.828571,,,,,,,,,,,,,,,,,,,
-4.815565,4.6500754,,,,,,,,,,,,,,,,,,,
-5.185577,5.239272,,,,,,,,,,,,,,,,,,,
-6.419849,5.1216164,,,,,,,,,,,,,,,,,,,
-5.4924126,3.7531872,,,,,,,,,,,,,,,,,,,
-4.6999536,2.5537074,,,,,,,,,,,,,,,,,,,
-5.5428967,3.355843,,,,,,,,,,,,,,,,,,,
-6.226721,3.4099376,,,,,,,,,,,,,,,,,,,
-6.613946,3.7049959,,,,,,,,,,,,,,,,,,,
-5.986266,4.0893035,,,,,,,,,,,,,,,,,,,
-4.486713,3.3397455,,,,,,,,,,,,,,,,,,,
-5.6173496,4.7889385,,,,,,,,,,,,,,,,,,,
-5.80193,5.1483655,,,,,,,,,,,,,,,,,,,
-5.616877,3.2537842,,,,,,,,,,,,,,,,,,,
-6.954381,4.7707243,,,,,,,,,,,,,,,,,,,
-7.095599,3.8713918,,,,,,,,,,,,,,,,,,,
-5.6133056,4.602246,,,,,,,,,,,,,,,,,,,
-4.9515553,4.8436885,,,,,,,,,,,,,,,,,,,
-6.5605583,3.556073,,,,,,,,,,,,,,,,,,,
-5.7351856,3.3501234,,,,,,,,,,,,,,,,,,,
-6.042412,5.0860605,,,,,,,,,,,,,,,,,,,
-5.606274,2.0262551,,,,,,,,,,,,,,,,,,,
-4.1747255,5.383555,,,,,,,,,,,,,,,,,,,
-6.196568,3.0869672,,,,,,,,,,,,,,,,,,,
-4.1532583,5.4944034,,,,,,,,,,,,,,,,,,,
-5.791857,5.596029,,,,,,,,,,,,,,,,,,,
-6.1140656,3.0677428,,,,,,,,,,,,,,,,,,,
-5.748205,4.6597342,,,,,,,,,,,,,,,,,,,
-5.8210616,5.2523007,,,,,,,,,,,,,,,,,,,
-5.9697514,3.2812674,,,,,,,,,,,,,,,,,,,
-5.0797834,4.5030875,,,,,,,,,,,,,,,,,,,
-5.097699,5.289289,,,,,,,,,,,,,,,,,,,
-5.483388,2.0338902,,,,,,,,,,,,,,,,,,,
-6.5295496,3.4525359,,,,,,,,,,,,,,,,,,,
-4.6064553,5.0188966,,,,,,,,,,,,,,,,,,,
-5.7518682,4.5999155,,,,,,,,,,,,,,,,,,,
-5.0239425,2.4880643,,,,,,,,,,,,,,,,,,,
-5.81174,4.475068,,,,,,,,,,,,,,,,,,,
-6.7979536,5.0364223,,,,,,,,,,,,,,,,,,,
-6.5234847,4.512362,,,,,,,,,,,,,,,,,,,
-5.803233,4.236008,,,,,,,,,,,,,,,,,,,
-6.6990557,4.7724285,,,,,,,,,,,,,,,,,,,
-5.8780184,3.2395988,,,,,,,,,,,,,,,,,,,
-6.7726183,3.3788095,,,,,,,,,,,,,,,,,,,
-5.546605,3.4980268,,,,,,,,,,,,,,,,,,,
-7.254274,4.085948,,,,,,,,,,,,,,,,,,,
-6.345254,4.3690805,,,,,,,,,,,,,,,,,,,
-4.9909663,4.730523,,,,,,,,,,,,,,,,,,,
-7.094748,3.9000006,,,,,,,,,,,,,,,,,,,
-5.153363,3.5615895,,,,,,,,,,,,,,,,,,,
-5.520626,4.3273635,,,,,,,,,,,,,,,,,,,
-5.744928,5.1143146,,,,,,,,,,,,,,,,,,,
-4.578751,3.3100169,,,,,,,,,,,,,,,,,,,
-5.66764,3.9358819,,,,,,,,,,,,,,,,,,,
-6.913004,4.3348403,,,,,,,,,,,,,,,,,,,
-7.190831,4.2212596,,,,,,,,,,,,,,,,,,,
-6.044163,4.918694,,,,,,,,,,,,,,,,,,,
-5.296161,4.632655,,,,,,,,,,,,,,,,,,,
-6.9543552,3.7068026,,,,,,,,,,,,,,,,,,,
-6.8707867,4.2501764,,,,,,,,,,,,,,,,,,,
-6.3341823,4.189587,,,,,,,,,,,,,,,,,,,
-5.5949817,4.2686033,,,,,,,,,,,,,,,,,,,
-6.7750926,3.6650007,,,,,,,,,,,,,,,,,,,
-5.5678387,4.442367,,,,,,,,,,,,,,,,,,,
-7.1735168,4.395549,,,,,,,,,,,,,,,,,,,
-4.422265,2.4924717,,,,,,,,,,,,,,,,,,,
-6.527874,3.3949118,,,,,,,,,,,,,,,,,,,
-6.6204343,4.3731,,,,,,,,,,,,,,,,,,,
-4.709623,5.1596346,,,,,,,,,,,,,,,,,,,
-4.9311996,2.8916728,,,,,,,,,,,,,,,,,,,
-5.341945,3.5118678,,,,,,,,,,,,,,,,,,,
-6.0613914,5.076749,,,,,,,,,,,,,,,,,,,
-5.4051504,3.7160072,,,,,,,,,,,,,,,,,,,
-5.2613807,3.6871169,,,,,,,,,,,,,,,,,,,
-6.3542295,4.5897527,,,,,,,,,,,,,,,,,,,
-6.0223136,3.7748175,,,,,,,,,,,,,,,,,,,
-5.1460533,4.675393,,,,,,,,,,,,,,,,,,,
-6.2734933,4.678649,,,,,,,,,,,,,,,,,,,
-5.350894,4.0629888,,,,,,,,,,,,,,,,,,,
-5.8254247,4.3361616,,,,,,,,,,,,,,,,,,,
-5.8976207,4.4757667,,,,,,,,,,,,,,,,,,,
-4.625528,2.2941403,,,,,,,,,,,,,,,,,,,
-5.4002366,4.2569323,,,,,,,,,,,,,,,,,,,
-5.263725,4.184098,,,,,,,,,,,,,,,,,,,
-5.9455795,5.211433,,,,,,,,,,,,,,,,,,,
-4.284506,4.198628,,,,,,,,,,,,,,,,,,,
-4.3813396,3.025976,,,,,,,,,,,,,,,,,,,
-5.360323,2.1821063,,,,,,,,,,,,,,,,,,,
-5.1918097,2.5128057,,,,,,,,,,,,,,,,,,,
-5.155403,2.6542013,,,,,,,,,,,,,,,,,,,
-5.078909,4.247979,,,,,,,,,,,,,,,,,,,
-5.3149786,4.4834003,,,,,,,,,,,,,,,,,,,
-5.684315,3.127541,,,,,,,,,,,,,,,,,,,
-6.1482115,4.2727776,,,,,,,,,,,,,,,,,,,
-5.613196,2.025224,,,,,,,,,,,,,,,,,,,
-6.5162053,2.9206023,,,,,,,,,,,,,,,,,,,
-4.389106,3.5418005,,,,,,,,,,,,,,,,,,,
-4.5301633,2.85818,,,,,,,,,,,,,,,,,,,
-4.9547114,2.4002156,,,,,,,,,,,,,,,,,,,
-6.0229836,4.1933165,,,,,,,,,,,,,,,,,,,
-5.2325726,4.350035,,,,,,,,,,,,,,,,,,,
-4.9497695,4.529872,,,,,,,,,,,,,,,,,,,
-6.073142,2.9427462,,,,,,,,,,,,,,,,,,,
-6.2460732,3.6052575,,,,,,,,,,,,,,,,,,,
-4.504707,4.538909,,,,,,,,,,,,,,,,,,,
-2.3592756,5.490489,,,,,,,,,,,,,,,,,,,
-5.7079725,2.9076738,,,,,,,,,,,,,,,,,,,
-7.428167,4.0818086,,,,,,,,,,,,,,,,,,,
-5.3173127,2.0347376,,,,,,,,,,,,,,,,,,,
-5.545492,3.8986204,,,,,,,,,,,,,,,,,,,
-6.565196,5.108443,,,,,,,,,,,,,,,,,,,
-5.4626784,5.028807,,,,,,,,,,,,,,,,,,,
-5.357678,3.5914164,,,,,,,,,,,,,,,,,,,
-6.225881,4.44349,,,,,,,,,,,,,,,,,,,
-4.6951227,2.2633193,,,,,,,,,,,,,,,,,,,
-5.328916,3.7126822,,,,,,,,,,,,,,,,,,,
-6.061372,4.5971613,,,,,,,,,,,,,,,,,,,
-5.5095024,3.375074,,,,,,,,,,,,,,,,,,,
-7.0549006,5.3325253,,,,,,,,,,,,,,,,,,,
-6.6961765,5.1648397,,,,,,,,,,,,,,,,,,,
-7.0579762,4.676017,,,,,,,,,,,,,,,,,,,
-5.521342,3.4300113,,,,,,,,,,,,,,,,,,,
-5.701703,4.3993244,,,,,,,,,,,,,,,,,,,
-5.8490562,3.1119366,,,,,,,,,,,,,,,,,,,
-6.2292433,4.3953853,,,,,,,,,,,,,,,,,,,
-5.1900854,2.4400275,,,,,,,,,,,,,,,,,,,
-6.886455,3.497122,,,,,,,,,,,,,,,,,,,
-5.585677,2.0952399,,,,,,,,,,,,,,,,,,,
-4.4564896,3.3570175,,,,,,,,,,,,,,,,,,,
-6.0267053,5.281761,,,,,,,,,,,,,,,,,,,
-5.0116906,2.5698497,,,,,,,,,,,,,,,,,,,
-6.081185,7.9865775,,,,,,,,,,,,,,,,,,,
-5.583475,4.698426,,,,,,,,,,,,,,,,,,,
-6.386331,3.6372604,,,,,,,,,,,,,,,,,,,
-5.7155414,4.985439,,,,,,,,,,,,,,,,,,,
-6.5539618,3.4518085,,,,,,,,,,,,,,,,,,,
-5.9029875,2.9642203,,,,,,,,,,,,,,,,,,,
7.384096,1.8206475,,,,,,,,,,,,,,,,,,,
-5.0623975,3.0685647,,,,,,,,,,,,,,,,,,,
-5.910482,4.687043,,,,,,,,,,,,,,,,,,,
-5.2999415,3.2103825,,,,,,,,,,,,,,,,,,,
