PC,rank,gene,loading
0,1,SSA1,-0.16807633638381958
0,2,RPL9A,-0.1633901596069336
0,3,YNL208W,-0.16307972371578217
0,4,AI1,-0.150294691324234
0,5,HHT1,-0.14852234721183777
0,6,HTA1,-0.1460198163986206
0,7,CIS3,-0.1421734243631363
0,8,YIL053W,-0.1412506103515625
0,9,HHT2,-0.13979847729206085
0,10,GAP1,-0.1343817412853241
1,1,HSP26,0.20371489226818085
1,2,CIS3,-0.19693352282047272
1,3,HTA2,-0.19430334866046906
1,4,RPL9A,-0.1912025660276413
1,5,YIL053W,-0.17320141196250916
1,6,DDR2,0.16697153449058533
1,7,HHF2,-0.16087836027145386
1,8,HTB2,-0.15299589931964874
1,9,ALD4,0.14380386471748352
1,10,SIP18,0.14024285972118378
2,1,ZRT1,0.24426767230033875
2,2,MET6,0.1870495229959488
2,3,OPI3,0.1655305176973343
2,4,ITR1,0.1613112837076187
2,5,AI1,-0.15083985030651093
2,6,ADH4,0.14938198029994965
2,7,DAL5,0.14014847576618195
2,8,INO1,0.13969214260578156
2,9,CYC1,-0.1388220340013504
2,10,MEP2,0.13855557143688202
3,1,NCW2,-0.23974257707595825
3,2,SHM2,0.2343585193157196
3,3,YMR122W-A,-0.19471938908100128
3,4,CRH1,-0.16964730620384216
3,5,ADE13,0.15884004533290863
3,6,PUN1,-0.14891263842582703
3,7,HHF1,0.1465788185596466
3,8,PST1,-0.1465747356414795
3,9,HTA2,0.14606301486492157
3,10,GCV2,0.14578889310359955
4,1,YFR052C-A,-0.17971739172935486
4,2,CTS1,-0.1731104999780655
4,3,HXT4,-0.16801412403583527
4,4,COX1,0.164815753698349
4,5,AI1,0.15545319020748138
4,6,SSA1,-0.1519886553287506
4,7,NCE103,0.15038621425628662
4,8,AI2,0.14858530461788177
4,9,PHO84,-0.14440372586250305
4,10,GAP1,0.1368657648563385
