PC,variance_explained,std
1,0.3015685,0.00073982653
2,0.036412425,0.0003723526
3,0.024395222,0.00023798976
4,0.018279951,0.00013506525
5,0.01657695,0.00017785974
6,0.013581635,0.00017211298
7,0.010118005,0.000111603906
8,0.008558441,6.5748e-05
9,0.008270114,8.547709e-05
10,0.007230585,9.816968e-05
11,0.0059892875,3.4986297e-05
12,0.0057275672,8.614838e-05
13,0.0047830255,4.742408e-05
14,0.004168509,5.480296e-05
15,0.0040612756,3.0572857e-05
16,0.0037578356,4.8357208e-05
17,0.0034627425,3.6566067e-05
18,0.0032139837,6.682139e-05
19,0.0031015007,2.8409107e-05
20,0.0030163326,2.7860244e-05
21,0.0028318232,2.5998566e-05
22,0.0027518894,1.9574747e-05
23,0.0027112912,2.5290214e-05
24,0.0026721202,1.5647443e-05
25,0.0026180856,2.4958299e-05
26,0.0025658489,1.1299614e-05
27,0.0025293408,4.4524745e-06
28,0.0024829023,1.29194e-05
29,0.0024571754,8.936379e-06
30,0.0024105303,5.139812e-06
31,0.002376567,1.3830389e-05
32,0.0023366401,1.1741271e-05
33,0.0022970864,9.646013e-06
34,0.0022699852,9.0982785e-06
35,0.0022433053,1.3949414e-05
36,0.0022056918,1.36032595e-05
37,0.0021825274,1.39785525e-05
38,0.002151188,2.0249081e-05
39,0.002132348,1.5342073e-05
40,0.002101703,1.79437e-05
41,0.0020806661,1.240273e-05
42,0.0020591447,1.0057534e-05
43,0.0020432465,7.796633e-06
44,0.0020232617,1.2824949e-05
45,0.0020087813,1.3723163e-05
46,0.0019866899,8.82822e-06
47,0.0019711733,8.263066e-06
48,0.0019520633,8.232446e-06
49,0.0019269304,1.3215152e-05
50,0.0019102513,6.1174687e-06
51,0.0018946681,1.1484458e-05
52,0.001878559,1.3048005e-05
53,0.0018585084,1.269157e-05
54,0.0018406942,4.740289e-06
55,0.00182875,6.323218e-06
56,0.0018090951,7.6265565e-06
57,0.0018012214,9.307044e-06
58,0.0017866442,1.0312991e-05
59,0.0017695372,6.492526e-06
60,0.0017569591,1.0058575e-05
61,0.0017473078,1.0492814e-05
62,0.0017300205,1.0671548e-05
63,0.001715747,1.1268479e-05
64,0.001703501,1.0448737e-05
65,0.0016901217,4.859754e-06
66,0.0016723787,5.392646e-06
67,0.001661848,8.536072e-06
68,0.0016547015,7.049361e-06
69,0.0016436507,5.390272e-06
70,0.0016302877,5.9736144e-06
71,0.0016197951,3.5628707e-06
72,0.001609599,3.5634403e-06
73,0.0015978176,3.3283181e-06
74,0.0015890406,1.6846025e-06
75,0.0015772827,4.474635e-06
76,0.0015684967,3.6812771e-06
