PC,rank,gene,loading
0,1,TDH3,0.11644305288791656
0,2,CCW12,0.10302102565765381
0,3,FBA1,0.09651447832584381
0,4,PDC1,0.09606330096721649
0,5,CWP2,0.09143662452697754
0,6,ENO2,0.08915133029222488
0,7,21S_RRNA,0.08596549183130264
0,8,CDC19,0.0844230204820633
0,9,ADH1,0.08136576414108276
0,10,GPM1,0.07937580347061157
1,1,HSP26,-0.0936688482761383
1,2,HSP12,-0.09225572645664215
1,3,RPL9A,0.08802666515111923
1,4,RPS31,0.08395238220691681
1,5,RPS9B,0.08059979975223541
1,6,TDH1,-0.07974626123905182
1,7,RPL18A,0.07949323952198029
1,8,SSA1,-0.0753277987241745
1,9,RPS13,0.07443799823522568
1,10,HOR7,-0.07378477603197098
2,1,21S_RRNA,-0.10320969671010971
2,2,HOR7,-0.0929090827703476
2,3,15S_RRNA,-0.09039828181266785
2,4,AI1,-0.08574417233467102
2,5,DDR2,-0.0855320617556572
2,6,SHM2,0.08538001030683517
2,7,NCE103,-0.08536519855260849
2,8,ADH2,-0.08522780239582062
2,9,ZRT1,0.08178017288446426
2,10,HXT3,0.0779699757695198
3,1,OLI1,0.16040606796741486
3,2,21S_RRNA,0.15990445017814636
3,3,COX1,0.13593420386314392
3,4,AI1,0.13259591162204742
3,5,15S_RRNA,0.1293388307094574
3,6,AI2,0.11432582885026932
3,7,AI5_BETA,0.09336350113153458
3,8,DBP2,0.09272439777851105
3,9,AI4,0.09238985925912857
3,10,NSR1,0.09025459736585617
4,1,AHP1,-0.12201400846242905
4,2,ZRT1,-0.11865013092756271
4,3,CIS3,0.10994057357311249
4,4,MET6,-0.10317845642566681
4,5,CYC1,0.09832266718149185
4,6,OPI3,-0.09575513750314713
4,7,INO1,-0.09330551326274872
4,8,HSP12,-0.08884400129318237
4,9,HSP26,-0.08684440702199936
4,10,PUT4,-0.08566424250602722
