condition,n_cells,min_genes,mean_genes,median_genes,max_genes,median_umi,pct_cells_above_500g
anc_sceg-30,3353.0,280.0,1033.3,902.0,3190.0,1688.0,85.5
anc_sceg-37,2211.0,298.0,1251.9,1172.0,3784.0,2416.0,95.6
anc_sdc,2313.0,334.0,1237.0,1219.0,3555.0,3119.0,91.2
anc_sdc-37,2760.0,363.0,1135.0,899.0,3969.0,1427.5,85.9
anc_sdc-diam,2056.0,276.0,1096.8,843.5,3405.0,1620.5,79.9
anc_sdc-h2o2,2813.0,304.0,1349.3,1362.0,3752.0,4314.0,92.9
anc_sdc-kcl,2756.0,315.0,1416.0,1348.5,3971.0,3271.0,87.3
anc_sdc-kcl-diam,3191.0,309.0,1340.6,1303.0,3597.0,2958.0,93.2
anc_sdc-kcl-h2o2,3844.0,314.0,1289.7,1206.0,3581.0,2643.5,87.8
anc_sdc-sorb,3123.0,336.0,976.2,939.0,3061.0,1701.0,90.1
anc_ypd,2844.0,325.0,951.0,744.0,2997.0,1180.0,78.8
anc_ypd-37,1534.0,311.0,625.4,522.0,3215.0,828.0,54.6
anc_ypd-diam,404.0,330.0,1006.8,888.0,3021.0,1579.5,80.0
anc_ypd-h2o2,2862.0,346.0,1216.0,1217.0,3244.0,2506.5,86.5
anc_ypd-kcl,2846.0,316.0,822.3,653.0,3605.0,1262.5,78.1
anc_ypd-kcl-diam,6343.0,280.0,412.2,358.0,3008.0,590.0,11.5
anc_ypd-kcl-h2o2,5440.0,332.0,1076.3,960.5,3850.0,1968.0,82.0
anc_ypd-sorb,4236.0,323.0,869.8,679.5,3640.0,1286.0,75.2
anc_ypeg-30,3659.0,307.0,1225.5,1078.0,3265.0,2178.0,87.4
anc_ypeg-37,2260.0,226.0,757.2,675.0,3079.0,1113.0,71.5
