PC,variance_explained,std
1,0.46442035,0.0015562485
2,0.019645678,0.00017678959
3,0.009093541,7.135457e-05
4,0.0069787027,7.7337885e-05
5,0.0053661615,4.3358097e-05
6,0.005176357,1.9214098e-05
7,0.004812653,8.3260384e-05
8,0.003423021,4.3774715e-05
9,0.0023474547,3.6877664e-05
10,0.0019156941,2.8473201e-05
11,0.0015817856,1.32298155e-05
12,0.0013858213,1.8356892e-05
13,0.0012368963,1.1641755e-05
14,0.0011622104,2.0611413e-05
15,0.0010189305,1.8891898e-05
16,0.00092993275,7.384669e-06
17,0.00089013815,1.010992e-05
18,0.00077929586,7.468645e-06
19,0.0007349231,1.024636e-05
20,0.00069430715,4.1062876e-06
21,0.0006643059,6.745448e-06
22,0.0006508578,5.438922e-06
23,0.0006364926,2.9643459e-06
24,0.00062003074,2.5180254e-06
25,0.0005876821,6.3175353e-06
26,0.0005629694,4.058618e-06
27,0.0005455646,3.753543e-06
28,0.0005303899,6.1788064e-06
29,0.00051265076,4.0158843e-06
30,0.0004954058,5.1298503e-06
31,0.0004870003,2.6282971e-06
32,0.00047629833,5.937643e-06
33,0.00046653257,3.4367256e-06
34,0.00045796437,3.2709406e-06
35,0.00045149657,3.39541e-06
36,0.00044659607,1.3032162e-06
37,0.0004413915,1.5198298e-06
38,0.00043627212,1.8386368e-06
39,0.00043333755,1.975971e-06
40,0.0004317547,1.6122162e-06
41,0.00042832707,2.1963654e-06
42,0.00042540385,1.6922904e-06
43,0.00042316798,1.6659462e-06
44,0.00042139564,1.6987668e-06
45,0.00041968835,1.9424883e-06
46,0.00041824728,1.7806641e-06
47,0.0004170895,1.267365e-06
48,0.00041478212,1.8448179e-06
49,0.0004132921,1.1723045e-06
50,0.00041203303,1.5729125e-06
51,0.00041065936,1.5327655e-06
52,0.00040947835,1.1741411e-06
53,0.00040858903,1.5846883e-06
54,0.00040750662,1.7993962e-06
55,0.0004063344,1.7250975e-06
56,0.000405085,1.2564388e-06
57,0.00040411646,1.3752323e-06
58,0.00040323116,1.2162346e-06
59,0.00040204776,1.5700248e-06
60,0.00040108478,1.9177646e-06
61,0.00039996975,1.8200742e-06
62,0.0003988777,1.5983941e-06
63,0.00039803772,1.7116046e-06
64,0.0003974171,1.8190343e-06
65,0.00039613276,1.8574395e-06
66,0.00039518136,2.0448267e-06
67,0.00039437297,1.945456e-06
68,0.0003934327,1.6228968e-06
69,0.00039282974,1.6083484e-06
70,0.0003919551,1.2378501e-06
71,0.00039104684,1.4320411e-06
72,0.00039057116,1.5049845e-06
73,0.00038990282,1.7184404e-06
74,0.00038901632,1.5173664e-06
75,0.00038792906,1.640595e-06
76,0.0003869573,1.5852908e-06
77,0.00038632186,1.4682274e-06
78,0.00038577509,1.5985745e-06
79,0.00038506798,1.5002396e-06
80,0.00038420476,1.7472682e-06
81,0.00038365275,1.8818433e-06
82,0.00038281296,1.816709e-06
83,0.0003823542,1.8504767e-06
84,0.00038159676,1.7309571e-06
85,0.000380923,1.9127706e-06
86,0.00037984096,1.8112449e-06
87,0.00037939378,1.6318734e-06
88,0.00037876947,1.6909515e-06
89,0.00037801146,1.764814e-06
90,0.00037729603,1.5606134e-06
91,0.0003766617,1.4755229e-06
92,0.00037575723,1.5544405e-06
93,0.0003749093,1.5736342e-06
94,0.00037435134,1.7541363e-06
