PC,rank,gene,loading
0,1,TDH3,0.11622060090303421
0,2,CCW12,0.10307424515485764
0,3,FBA1,0.09631932526826859
0,4,PDC1,0.09593314677476883
0,5,CWP2,0.0912473127245903
0,6,ENO2,0.08916769176721573
0,7,21S_RRNA,0.08610781282186508
0,8,CDC19,0.0843462273478508
0,9,ADH1,0.08146359771490097
0,10,GPM1,0.07940932363271713
1,1,HSP26,0.09129467606544495
1,2,HSP12,0.08857820928096771
1,3,RPL9A,-0.08828543871641159
1,4,RPS31,-0.0863853469491005
1,5,TDH1,0.08134406805038452
1,6,RPS9B,-0.08048947900533676
1,7,RPL18A,-0.0769638642668724
1,8,RPS2,-0.07438409328460693
1,9,RPS13,-0.0741306021809578
1,10,RPS22A,-0.07334854453802109
2,1,21S_RRNA,-0.10355038940906525
2,2,15S_RRNA,-0.0922015905380249
2,3,HOR7,-0.09013967961072922
2,4,SHM2,0.08840341120958328
2,5,AI1,-0.08780159801244736
2,6,ADH2,-0.08742677420377731
2,7,NCE103,-0.08613692224025726
2,8,DDR2,-0.0861314982175827
2,9,YIL053W,0.08217830955982208
2,10,ZRT1,0.08201435953378677
3,1,21S_RRNA,0.16229240596294403
3,2,OLI1,0.15766791999340057
3,3,COX1,0.1331053376197815
3,4,AI1,0.13064716756343842
3,5,15S_RRNA,0.128208190202713
3,6,AI2,0.11573180556297302
3,7,AI5_BETA,0.09298191964626312
3,8,DBP2,0.0928223729133606
3,9,AI4,0.09178716689348221
3,10,NSR1,0.08784829080104828
4,1,ADH1,0.13674518465995789
4,2,INO1,-0.13507403433322906
4,3,OPI3,-0.13106094300746918
4,4,ZRT1,-0.1265198141336441
4,5,ITR1,-0.11686777323484421
4,6,GAP1,-0.11298603564500809
4,7,POR1,0.09904802590608597
4,8,CWP1,0.09429354220628738
4,9,SAM2,-0.09298530220985413
4,10,HXT4,0.09276585280895233
