PC,rank,gene,loading
0,1,SSA1,-0.17061005532741547
0,2,YNL208W,-0.16359589993953705
0,3,AI1,-0.15174540877342224
0,4,HHT1,-0.1486859917640686
0,5,HTA1,-0.14721985161304474
0,6,YIL053W,-0.14379549026489258
0,7,CIS3,-0.14250387251377106
0,8,HHT2,-0.1404043585062027
0,9,GAP1,-0.13670997321605682
0,10,YDR133C,-0.12721382081508636
1,1,CIS3,-0.2067314237356186
1,2,HSP26,0.20587976276874542
1,3,HTA2,-0.1888212114572525
1,4,YIL053W,-0.17477279901504517
1,5,DDR2,0.16891056299209595
1,6,HHF2,-0.16238363087177277
1,7,HTB2,-0.16035982966423035
1,8,HHT2,-0.14553983509540558
1,9,ALD4,0.14518064260482788
1,10,SIP18,0.14086344838142395
2,1,ZRT1,-0.24168828129768372
2,2,MET6,-0.18925033509731293
2,3,AI1,0.16370335221290588
2,4,OPI3,-0.16173824667930603
2,5,ADH4,-0.15088088810443878
2,6,CIS3,0.14587987959384918
2,7,DAL5,-0.14252890646457672
2,8,MEP2,-0.1342388391494751
2,9,PUT4,-0.13285128772258759
2,10,ADH2,0.13181018829345703
3,1,NCW2,0.24314726889133453
3,2,SHM2,-0.23561136424541473
3,3,YMR122W-A,0.19324669241905212
3,4,HTA2,-0.17180316150188446
3,5,CRH1,0.17017540335655212
3,6,HHF1,-0.16491104662418365
3,7,HSP150,0.15456019341945648
3,8,PST1,0.14970208704471588
3,9,PUN1,0.14839331805706024
3,10,GCV2,-0.14728567004203796
4,1,YFR052C-A,-0.19122879207134247
4,2,COX1,0.1894492655992508
4,3,HXT4,-0.17355044186115265
4,4,AI1,0.1667184829711914
4,5,AI2,0.16357246041297913
4,6,SSA1,-0.1620560884475708
4,7,CTS1,-0.1550552248954773
4,8,NCE103,0.15235531330108643
4,9,PHO84,-0.15126177668571472
4,10,AI4,0.1464514434337616
