PC,variance_explained,std
1,0.2934332,0.0010033987
2,0.035479393,0.0004552723
3,0.022972252,0.0001737437
4,0.017428732,0.00021839591
5,0.016035039,0.0001161327
6,0.0137188975,0.00018751711
7,0.009959259,0.0001268341
8,0.008540822,0.00010704842
9,0.00789262,9.025954e-05
10,0.007112852,0.000117492236
11,0.0061408374,7.759727e-05
12,0.0056794034,7.475222e-05
13,0.00492626,7.0536145e-05
14,0.004135144,8.6330525e-05
15,0.003994584,2.0462132e-05
16,0.0036597098,3.5436235e-05
17,0.003296673,3.7844246e-05
18,0.0031621524,6.060421e-05
19,0.003060086,2.6817708e-05
20,0.0029591687,2.4183058e-05
21,0.002742432,3.406352e-05
22,0.002681314,1.8784809e-05
23,0.002621659,2.4682255e-05
24,0.0025725102,2.604331e-05
25,0.002534607,1.0223296e-05
26,0.0024898243,1.4746928e-05
27,0.0024454591,2.1521353e-05
28,0.002396782,1.7928318e-05
29,0.0023532396,1.962475e-05
30,0.002308053,1.2318972e-05
31,0.0022729766,5.320681e-06
32,0.0022396878,1.6434498e-05
33,0.0022109658,5.4604234e-06
34,0.0021729176,2.313549e-05
35,0.0021376917,2.6399039e-05
36,0.00211502,2.2444921e-05
37,0.0020880501,2.2139226e-05
38,0.0020649498,1.769353e-05
39,0.0020361762,1.2458217e-05
40,0.0020267614,1.3957064e-05
41,0.001998686,1.358078e-05
42,0.001978927,1.2317681e-05
43,0.0019614873,1.4261235e-05
44,0.001937653,1.1867916e-05
45,0.0019164342,1.1332292e-05
46,0.0019039263,1.2286921e-05
47,0.001882919,1.6469816e-05
48,0.0018657414,1.0779325e-05
49,0.001847891,9.414933e-06
50,0.0018327718,7.711939e-06
51,0.0018145182,3.6672964e-06
52,0.0017998596,4.2744286e-06
53,0.0017875156,6.019029e-06
54,0.0017751572,8.866698e-06
55,0.0017654992,8.989818e-06
56,0.0017474078,8.410509e-06
57,0.0017270063,1.0113892e-05
58,0.0017157416,8.824383e-06
59,0.0017042683,1.0061809e-05
60,0.0016933718,9.575089e-06
61,0.0016852681,1.0024581e-05
62,0.0016712105,8.866659e-06
63,0.0016598586,7.90944e-06
64,0.0016475125,9.275398e-06
65,0.0016399907,1.08795775e-05
66,0.0016292414,1.064637e-05
67,0.0016159345,8.485594e-06
68,0.001607498,8.472058e-06
69,0.00159926,7.33061e-06
70,0.0015880469,9.363156e-06
71,0.0015765748,8.338081e-06
72,0.0015688684,8.424044e-06
73,0.0015538773,6.6817997e-06
74,0.0015454724,6.377531e-06
75,0.0015377194,5.7137245e-06
76,0.0015272204,5.302964e-06
77,0.0015193736,5.95164e-06
78,0.0015115484,3.7638742e-06
79,0.0015018679,6.1138394e-06
80,0.0014957302,8.053046e-06
81,0.0014853661,7.392187e-06
82,0.0014770622,6.617921e-06
83,0.0014674132,7.4738564e-06
84,0.001457633,7.4115037e-06
85,0.001451144,8.191786e-06
86,0.001442742,6.6439993e-06
87,0.0014317458,5.708774e-06
88,0.0014229853,8.241689e-06
89,0.001415027,7.303612e-06
90,0.0014076055,1.8870344e-06
91,0.001398614,4.4352373e-06
92,0.001390306,3.0660538e-06
93,0.0013844726,4.1185212e-06
94,0.0013776202,5.48426e-06
95,0.001370002,6.952424e-06
96,0.0013614766,5.9976046e-06
97,0.0013549002,6.989176e-06
98,0.001347091,5.970216e-06
99,0.0013401341,7.812179e-06
100,0.0013356003,5.4410016e-06
101,0.001327015,5.5473033e-06
102,0.0013198571,4.6596274e-06
103,0.0013127321,7.3305496e-06
104,0.0013034227,4.8414804e-06
105,0.0012982675,4.615058e-06
106,0.0012932923,4.3099167e-06
107,0.0012875473,4.410271e-06
108,0.0012800057,5.0539898e-06
109,0.0012756181,6.0559228e-06
110,0.0012687843,5.2433707e-06
111,0.0012645765,3.5569892e-06
112,0.0012586393,3.8114447e-06
113,0.0012501192,3.872678e-06
114,0.0012452727,3.8544754e-06
115,0.0012391731,2.7903975e-06
116,0.0012314576,3.7610673e-06
117,0.0012269433,2.6210462e-06
118,0.0012212949,2.4771562e-06
119,0.0012152886,3.1665243e-06
120,0.0012107148,5.122994e-06
121,0.0012070307,4.7559765e-06
122,0.0011997615,4.4118674e-06
123,0.0011937902,1.6634123e-06
124,0.001186855,2.7971546e-06
125,0.0011825983,1.3675616e-06
126,0.0011749626,4.367864e-06
127,0.0011710908,4.8517736e-06
128,0.0011650263,3.505431e-06
129,0.001160338,4.622423e-06
130,0.0011553874,3.7399443e-06
131,0.0011513224,5.0058534e-06
132,0.0011457696,5.3787267e-06
133,0.0011392763,5.0212934e-06
134,0.0011348807,6.1900655e-06
135,0.0011301115,5.155648e-06
136,0.0011254158,4.32799e-06
137,0.0011209083,3.1796826e-06
138,0.0011155555,5.6036206e-06
139,0.0011097186,5.344618e-06
140,0.0011054093,6.2839426e-06
141,0.0011005481,5.2425876e-06
142,0.0010966887,6.7386254e-06
143,0.0010915194,4.930684e-06
144,0.0010885536,5.1455563e-06
145,0.0010844454,4.539791e-06
146,0.0010789182,4.819901e-06
147,0.0010754535,4.718586e-06
148,0.0010711382,5.038288e-06
149,0.0010681122,4.0884265e-06
150,0.0010629527,4.5055626e-06
151,0.0010593237,3.990925e-06
152,0.0010545021,3.326669e-06
153,0.0010505595,4.2921506e-06
154,0.0010470471,3.7972713e-06
155,0.0010440446,3.08738e-06
156,0.001038047,3.7687323e-06
157,0.0010334342,3.856383e-06
158,0.0010301016,3.613398e-06
159,0.0010260053,3.5327344e-06
160,0.0010229815,2.3143361e-06
161,0.0010178863,4.776014e-06
162,0.0010154155,5.3013396e-06
163,0.0010115178,4.503e-06
164,0.0010084225,4.091486e-06
165,0.0010047631,5.280528e-06
166,0.0010015825,5.5664646e-06
167,0.0009964404,5.513647e-06
168,0.0009939463,5.4776974e-06
169,0.0009903677,5.4731854e-06
170,0.0009870415,5.7098773e-06
171,0.0009833368,4.346444e-06
172,0.0009798378,3.618436e-06
173,0.000975274,4.5221564e-06
174,0.0009723618,4.9855325e-06
175,0.0009685815,5.39656e-06
176,0.0009653852,3.831576e-06
177,0.0009633514,4.256292e-06
178,0.00095891673,3.000802e-06
179,0.0009552637,3.0100525e-06
180,0.0009519313,2.8706256e-06
181,0.00094912096,3.6019487e-06
182,0.0009458926,3.7082252e-06
183,0.0009429588,3.861432e-06
184,0.0009398125,4.485078e-06
185,0.0009367326,4.394106e-06
186,0.00093396596,4.050753e-06
187,0.0009311198,4.409757e-06
188,0.0009276685,4.257197e-06
189,0.00092447014,4.811397e-06
190,0.0009219416,4.637195e-06
191,0.0009196214,4.9627706e-06
192,0.0009151403,5.9007803e-06
193,0.0009117658,5.2697424e-06
194,0.0009098976,5.376371e-06
195,0.00090672506,4.6025375e-06
196,0.00090288906,4.1196718e-06
197,0.000900659,4.5856373e-06
198,0.00089805503,3.9887846e-06
199,0.0008957739,4.722137e-06
200,0.0008927664,3.840674e-06
201,0.0008895759,3.9491165e-06
