X,Y_anc_sceg-30,Y_anc_sceg-37,Y_anc_sdc,Y_anc_sdc-37,Y_anc_sdc-diam,Y_anc_sdc-h2o2,Y_anc_sdc-kcl,Y_anc_sdc-kcl-diam,Y_anc_sdc-kcl-h2o2,Y_anc_sdc-sorb,Y_anc_ypd,Y_anc_ypd-37,Y_anc_ypd-diam,Y_anc_ypd-h2o2,Y_anc_ypd-kcl,Y_anc_ypd-kcl-diam,Y_anc_ypd-kcl-h2o2,Y_anc_ypd-sorb,Y_anc_ypeg-30,Y_anc_ypeg-37
-3.412551,5.247181,,,,,,,,,,,,,,,,,,,
-5.3405886,6.377105,,,,,,,,,,,,,,,,,,,
-4.3630385,5.3974657,,,,,,,,,,,,,,,,,,,
-4.0141244,3.377772,,,,,,,,,,,,,,,,,,,
-3.6668084,4.345913,,,,,,,,,,,,,,,,,,,
-3.9707,4.049096,,,,,,,,,,,,,,,,,,,
-4.2869587,5.2216663,,,,,,,,,,,,,,,,,,,
-6.0551987,6.33973,,,,,,,,,,,,,,,,,,,
-3.5115182,5.0976434,,,,,,,,,,,,,,,,,,,
-3.990837,5.4265056,,,,,,,,,,,,,,,,,,,
-4.2156425,4.318609,,,,,,,,,,,,,,,,,,,
-5.2600346,5.9018517,,,,,,,,,,,,,,,,,,,
-4.263447,5.307633,,,,,,,,,,,,,,,,,,,
-4.510989,7.166605,,,,,,,,,,,,,,,,,,,
-5.9251275,6.148733,,,,,,,,,,,,,,,,,,,
-4.0040293,5.5726824,,,,,,,,,,,,,,,,,,,
-4.7024307,4.935539,,,,,,,,,,,,,,,,,,,
-2.9429975,3.1421552,,,,,,,,,,,,,,,,,,,
-3.5410912,5.4788456,,,,,,,,,,,,,,,,,,,
-3.8256435,4.186437,,,,,,,,,,,,,,,,,,,
7.1536274,-1.2878406,,,,,,,,,,,,,,,,,,,
-3.5983837,5.0761104,,,,,,,,,,,,,,,,,,,
-3.8546586,3.4434686,,,,,,,,,,,,,,,,,,,
-4.723072,6.553559,,,,,,,,,,,,,,,,,,,
-4.3116574,3.4208105,,,,,,,,,,,,,,,,,,,
-4.024538,3.789251,,,,,,,,,,,,,,,,,,,
-3.7167308,4.569156,,,,,,,,,,,,,,,,,,,
-3.0889,4.6891656,,,,,,,,,,,,,,,,,,,
-5.7298903,6.7154074,,,,,,,,,,,,,,,,,,,
-4.298932,4.5613127,,,,,,,,,,,,,,,,,,,
-4.6574283,5.5886445,,,,,,,,,,,,,,,,,,,
-4.610158,5.387104,,,,,,,,,,,,,,,,,,,
-3.9189556,4.8959923,,,,,,,,,,,,,,,,,,,
-4.9068427,6.484728,,,,,,,,,,,,,,,,,,,
-3.8290687,5.40838,,,,,,,,,,,,,,,,,,,
-5.673062,6.2661123,,,,,,,,,,,,,,,,,,,
-4.2407475,5.259711,,,,,,,,,,,,,,,,,,,
-5.555453,6.6218204,,,,,,,,,,,,,,,,,,,
-4.377102,5.7389765,,,,,,,,,,,,,,,,,,,
-5.126794,5.9128103,,,,,,,,,,,,,,,,,,,
-5.504103,3.7591884,,,,,,,,,,,,,,,,,,,
0.851657,3.5808756,,,,,,,,,,,,,,,,,,,
-4.214504,5.7610874,,,,,,,,,,,,,,,,,,,
-5.650029,5.6618633,,,,,,,,,,,,,,,,,,,
-2.4691436,1.4987003,,,,,,,,,,,,,,,,,,,
