PC,rank,gene,loading
0,1,TDH3,0.11722491681575775
0,2,CCW12,0.1036258265376091
0,3,FBA1,0.09704401344060898
0,4,PDC1,0.09665249288082123
0,5,CWP2,0.09194111824035645
0,6,ENO2,0.08972106873989105
0,7,21S_RRNA,0.08697158843278885
0,8,CDC19,0.0851883813738823
0,9,ADH1,0.08211862295866013
0,10,GPM1,0.07995632290840149
1,1,HSP26,-0.09361885488033295
1,2,HSP12,-0.09272084385156631
1,3,RPL9A,0.0891413614153862
1,4,RPS31,0.08466864377260208
1,5,TDH1,-0.08238130062818527
1,6,RPS9B,0.08133865892887115
1,7,RPL18A,0.07931354641914368
1,8,RPS13,0.07415977120399475
1,9,RPS2,0.07367173582315445
1,10,SSA1,-0.07347101718187332
2,1,21S_RRNA,-0.1235918328166008
2,2,15S_RRNA,-0.10631231218576431
2,3,HOR7,-0.09680453687906265
2,4,AI1,-0.09151917695999146
2,5,SHM2,0.08985906094312668
2,6,OLI1,-0.08741184324026108
2,7,NCE103,-0.08344192057847977
2,8,DDR2,-0.08175447583198547
2,9,ADH2,-0.08046313375234604
2,10,CWP2,-0.08025997877120972
3,1,OLI1,0.15009461343288422
3,2,21S_RRNA,0.1450740247964859
3,3,COX1,0.13222090899944305
3,4,AI1,0.13027030229568481
3,5,15S_RRNA,0.11912591755390167
3,6,AI2,0.1126958429813385
3,7,DBP2,0.09326866269111633
3,8,AI5_BETA,0.09270302951335907
3,9,AI4,0.09128287434577942
3,10,NSR1,0.09128172695636749
4,1,AHP1,-0.12108488380908966
4,2,ZRT1,-0.11945976316928864
4,3,CIS3,0.11905819922685623
4,4,OPI3,-0.10178213566541672
4,5,MET6,-0.10051315277814865
4,6,INO1,-0.0962831899523735
4,7,CYC1,0.09577356278896332
4,8,PUT4,-0.08783449977636337
4,9,ALD6,-0.08679352700710297
4,10,CRH1,0.08155159652233124
