PC,variance_explained,std
1,0.45998552,0.00090382365
2,0.019280305,9.548125e-05
3,0.009017221,4.0359995e-05
4,0.0068966234,7.4392054e-05
5,0.0053259865,4.0755403e-05
6,0.005176846,4.0970906e-05
7,0.0049802708,2.2362234e-05
8,0.0033670717,3.3899934e-05
9,0.0023544366,2.3761706e-05
10,0.0018865485,1.6169965e-05
11,0.0015712379,1.5337104e-05
12,0.00136596,1.9203759e-05
13,0.001225533,1.3291391e-05
14,0.0011529997,1.5492486e-05
15,0.001047988,1.6335804e-05
16,0.00092054147,7.5843145e-06
17,0.0008880269,8.2816605e-06
18,0.0007963353,9.887087e-06
19,0.00073180447,6.559592e-06
20,0.00072108,7.713198e-06
21,0.00067548576,3.98659e-06
22,0.000657004,3.2537064e-06
23,0.0006354362,7.505488e-06
24,0.00062013406,2.4763276e-06
25,0.0005952067,4.4811663e-06
26,0.0005627044,4.5290117e-06
27,0.0005434431,3.6899721e-06
28,0.0005333628,6.1898195e-06
29,0.0005184428,5.2972778e-06
30,0.00050278904,4.5844054e-06
31,0.0004940178,6.740143e-06
32,0.0004803777,3.0827011e-06
33,0.00047053452,1.8393492e-06
34,0.00046371875,9.458307e-07
35,0.00045789554,3.4731863e-06
36,0.00045278878,2.8961813e-06
37,0.0004473403,1.3370193e-06
38,0.0004433647,1.1086684e-06
39,0.00043874406,2.0193645e-06
40,0.0004361147,2.2365132e-06
41,0.0004333473,9.671866e-07
42,0.00043125657,1.3776895e-06
43,0.0004296069,1.2943282e-06
44,0.00042790643,8.9392e-07
45,0.00042678395,6.3162037e-07
46,0.0004245534,9.610658e-07
47,0.0004227469,1.5317422e-06
48,0.00042168517,7.2781535e-07
49,0.00041993623,6.14505e-07
50,0.0004184664,7.4657083e-07
51,0.00041711374,1.0134019e-06
52,0.00041607505,1.1811078e-06
53,0.00041475854,9.0029886e-07
54,0.0004136581,8.2184715e-07
55,0.00041250815,1.0677527e-06
56,0.00041164047,1.0495681e-06
57,0.00041014547,1.2710304e-06
58,0.0004092394,8.2497195e-07
59,0.00040840486,8.1350123e-07
60,0.00040724454,5.7147383e-07
61,0.00040621407,7.0882214e-07
62,0.00040500838,7.027621e-07
63,0.0004044458,6.741533e-07
64,0.00040377112,6.7275585e-07
65,0.00040259087,8.105544e-07
66,0.00040123778,9.472932e-07
67,0.0004005756,9.5165296e-07
68,0.00039939134,7.881071e-07
69,0.00039858822,7.880289e-07
70,0.0003978987,9.632296e-07
71,0.00039693504,9.639961e-07
72,0.00039603995,1.0457528e-06
73,0.00039530557,8.0579895e-07
74,0.0003942008,1.0608148e-06
75,0.00039329226,1.1646126e-06
76,0.00039260683,9.480473e-07
77,0.00039194792,9.0189496e-07
78,0.0003910912,1.053294e-06
79,0.00039033566,9.097065e-07
80,0.0003895101,1.0441597e-06
81,0.0003889315,1.15323e-06
82,0.00038790586,1.1287455e-06
83,0.00038737486,9.1157534e-07
84,0.00038670556,9.785491e-07
85,0.00038565916,9.618653e-07
86,0.0003850041,1.0354509e-06
87,0.0003844535,8.514062e-07
88,0.00038369212,9.1897533e-07
89,0.00038308857,9.2140226e-07
90,0.00038226537,8.468328e-07
91,0.00038177505,7.6238354e-07
92,0.0003808235,8.488592e-07
93,0.0003801926,9.837022e-07
94,0.00037928185,9.916876e-07
95,0.00037855288,1.0259204e-06
96,0.00037768076,5.2817626e-07
97,0.0003772997,5.5780913e-07
98,0.00037667548,4.5470878e-07
99,0.00037610205,6.2224797e-07
100,0.00037578194,7.261573e-07
101,0.00037500577,9.3535334e-07
102,0.0003742542,8.824361e-07
103,0.00037372202,1.0202541e-06
104,0.00037312484,8.7393346e-07
105,0.00037252848,8.751754e-07
106,0.00037173642,8.489211e-07
107,0.000371199,8.096652e-07
108,0.00037049036,8.7567963e-07
109,0.00036963623,9.822522e-07
110,0.00036928218,7.8194415e-07
111,0.000368862,9.2820983e-07
112,0.00036822178,9.99829e-07
113,0.00036743013,8.444065e-07
114,0.00036685177,8.4177344e-07
115,0.0003661349,7.07438e-07
116,0.00036564743,6.5619275e-07
117,0.00036508878,6.69098e-07
118,0.00036447213,8.164381e-07
119,0.00036403036,8.4461163e-07
120,0.00036338493,7.010829e-07
121,0.00036279825,8.016132e-07
122,0.00036229054,6.673533e-07
123,0.00036182156,5.100961e-07
