PC,rank,gene,loading
0,1,DDR2,-0.12153471394256816
0,2,HSP26,-0.11774682399003818
0,3,OM45,-0.10745068578847655
0,4,ALD4,-0.105060751475172
0,5,SIP18,-0.10478808643297649
0,6,NCE103,-0.10452043632720866
0,7,OM14,-0.10336376540208621
0,8,PRB1,-0.096893136147172
0,9,MSC1,-0.09562866396692547
0,10,TMA10,-0.09387469764886815
1,1,ZRT1,0.13145449445512244
1,2,ADH2,-0.1274146427257089
1,3,FBP1,-0.11959128346120429
1,4,ITR1,0.11746243512339372
1,5,PCK1,-0.1174381666151989
1,6,ICL1,-0.11678406876270345
1,7,SAM2,0.10791445114600971
1,8,JEN1,-0.10775190159934434
1,9,OPI3,0.10122616269499342
1,10,IDP2,-0.10087803356890582
2,1,YCL048W-A,-0.137934855913937
2,2,CIS3,0.11967402957363778
2,3,YMR304C-A,0.11774963629918254
2,4,CRH1,0.11713526262297057
2,5,CTT1,-0.11488992844122053
2,6,PDC6,-0.11353902122042779
2,7,YMR122W-A,0.10937362859115426
2,8,PRY2,0.10620749557061532
2,9,GRE1,-0.10409129097429126
2,10,SPS100,-0.10377198141944682
3,1,NCW2,0.15238521226959068
3,2,PST1,0.11975492999860594
3,3,HTB2,-0.11947393251905593
3,4,HSP150,0.11396225548118148
3,5,YMR122W-A,0.11083936673256696
3,6,RNR1,-0.10271828605709973
3,7,BAR1,0.10137479767314868
3,8,PHO5,0.10040274881950731
3,9,URA1,0.09985231939309941
3,10,EGT2,0.09794258974253015
4,1,POL30,-0.12003844097194637
4,2,TOS6,-0.1122644681119926
4,3,RTC3,-0.11123620075075279
4,4,YFR052C-A,-0.11116036862946468
4,5,"DUR1,2",0.10968455700858074
4,6,ALD3,-0.10694126678885629
4,7,RNR1,-0.10444936797919495
4,8,CTT1,-0.1019364000427988
4,9,PRY2,-0.1011425238764359
4,10,HXK1,-0.09995760310418693
