PC,rank,gene,loading
0,1,PSA1,-0.17431659996509552
0,2,GDH1,-0.1652548611164093
0,3,YCR024C-B,-0.1621232032775879
0,4,HHT1,-0.16194839775562286
0,5,SHM2,-0.15303975343704224
0,6,AHP1,-0.14961038529872894
0,7,ZEO1,-0.1468367725610733
0,8,HHT2,-0.14436428248882294
0,9,ITR1,-0.14164966344833374
0,10,PDC5,-0.14146234095096588
1,1,ZRT1,0.20449292659759521
1,2,MET6,0.1864510029554367
1,3,HSP82,-0.17932909727096558
1,4,CYC1,-0.1777733862400055
1,5,HSP60,-0.1688600778579712
1,6,PDC5,0.16164815425872803
1,7,ITR1,0.14495624601840973
1,8,ZEO1,-0.14427445828914642
1,9,SHM2,0.143663689494133
1,10,ZPS1,0.14269942045211792
2,1,HTA2,0.19664810597896576
2,2,RIB4,0.19583000242710114
2,3,FIT3,-0.1862153708934784
2,4,HTB2,0.16776955127716064
2,5,PDC5,0.16515669226646423
2,6,FIT2,-0.15870563685894012
2,7,NCE103,-0.15675675868988037
2,8,HHF2,0.15642370283603668
2,9,HHF1,0.1521756798028946
2,10,PSA1,0.15176670253276825
3,1,HTA2,0.27175286412239075
3,2,HHF1,0.2633550465106964
3,3,HHF2,0.24815572798252106
3,4,HTB2,0.2476329654455185
3,5,HHT1,0.2068902999162674
3,6,HHT2,0.17570511996746063
3,7,NCW2,-0.16387559473514557
3,8,PST1,-0.14863570034503937
3,9,YMR122W-A,-0.1460011601448059
3,10,PSA1,0.13288190960884094
4,1,MET17,-0.2756665349006653
4,2,TIP1,0.22623838484287262
4,3,MET14,-0.2136009931564331
4,4,ARG1,0.21239644289016724
4,5,AHP1,-0.197982519865036
4,6,YCR024C-B,0.1730809509754181
4,7,MET3,-0.1700800508260727
4,8,SHM2,0.15984362363815308
4,9,GCV2,0.1531156301498413
4,10,HSP82,-0.1520535796880722
