PC,rank,gene,loading
0,1,TDH3,-0.11568230390548706
0,2,CCW12,-0.1079903393983841
0,3,PDC1,-0.10349882394075394
0,4,ENO2,-0.10136488080024719
0,5,FBA1,-0.09809557348489761
0,6,CDC19,-0.08975953608751297
0,7,CWP2,-0.08487606793642044
0,8,21S_RRNA,-0.08327919989824295
0,9,GPM1,-0.08251012861728668
0,10,TPI1,-0.08184236288070679
1,1,INO1,0.10377788543701172
1,2,RPL9A,-0.09058574587106705
1,3,RPS9B,-0.0810951441526413
1,4,GAP1,0.08092198520898819
1,5,RPS22A,-0.07984131574630737
1,6,MET6,0.07944275438785553
1,7,ARG4,0.07883099466562271
1,8,RPS31,-0.07555069029331207
1,9,FIT2,0.07548430562019348
1,10,ZRT1,0.074924036860466
2,1,INO1,0.14767839014530182
2,2,HSP82,-0.13351723551750183
2,3,ZRT1,0.1308542639017105
2,4,CYC1,-0.11433032155036926
2,5,MET6,0.11369942128658295
2,6,PDC5,0.11182844638824463
2,7,HSP60,-0.11165736615657806
2,8,SHM2,0.11144755035638809
2,9,HSP10,-0.10312504321336746
2,10,SSA1,-0.09671379625797272
3,1,OLI1,-0.21379978954792023
3,2,21S_RRNA,-0.19683942198753357
3,3,15S_RRNA,-0.16018979251384735
3,4,CWP2,-0.13073872029781342
3,5,FIT3,-0.12175256758928299
3,6,CCW12,-0.11870432645082474
3,7,FIT2,-0.11374799907207489
3,8,INO1,-0.09586960822343826
3,9,TDH3,-0.090047188103199
3,10,AI1,-0.08826369047164917
4,1,PDC5,0.1366080492734909
4,2,ENO2,0.13562552630901337
4,3,TDH3,0.12224374711513519
4,4,21S_RRNA,0.11963584274053574
4,5,RIB4,0.11371967196464539
4,6,GPM1,0.11168456077575684
4,7,PDC1,0.10974712669849396
4,8,CDC19,0.10659177601337433
4,9,HTB1,0.10450926423072815
4,10,FBA1,0.10148411989212036
