condition,n_cells,min_genes,mean_genes,median_genes,max_genes,median_umi,pct_cells_above_500g
evo_sceg-30,3077.0,200.0,1095.2,1008.0,3825.0,2089.0,83.5
evo_sdc,3114.0,329.0,1324.4,1106.0,3881.0,2368.0,84.8
evo_sdc-37,3599.0,307.0,1416.0,1172.0,3982.0,2631.0,82.7
evo_sdc-diam,2662.0,294.0,1329.4,1107.5,3694.0,2574.0,87.3
evo_sdc-h2o2,4040.0,351.0,1281.4,1061.0,3825.0,2029.5,86.2
evo_sdc-kcl,3571.0,291.0,1072.5,783.0,3756.0,1607.0,81.4
evo_sdc-kcl-diam,3420.0,303.0,944.2,670.0,3837.0,1312.0,71.1
evo_sdc-kcl-h2o2,3571.0,286.0,970.1,708.0,3516.0,1376.0,75.1
evo_sdc-sorb,3792.0,295.0,1119.1,831.5,3927.0,1425.5,81.2
evo_ypd,2990.0,296.0,1288.0,1008.5,3950.0,1919.5,90.1
evo_ypd-37,4122.0,322.0,1078.7,862.0,3920.0,1700.0,86.6
evo_ypd-diam,2841.0,321.0,837.6,669.0,3285.0,1367.0,80.4
evo_ypd-h2o2,3089.0,276.0,962.4,717.0,3876.0,1610.0,73.0
evo_ypd-kcl,4165.0,294.0,702.3,570.0,3499.0,1084.0,63.8
evo_ypd-kcl-diam,2747.0,309.0,683.8,594.0,3136.0,1508.0,78.2
evo_ypd-kcl-h2o2,3254.0,313.0,702.6,598.0,3069.0,1322.0,72.9
evo_ypd-sorb,4772.0,351.0,750.9,637.0,3363.0,1084.0,84.8
evo_ypeg-30,3778.0,260.0,1100.9,799.0,3978.0,1517.0,79.2
