PC,variance_explained,std
1,0.05328100035217723,0.0008151548003221471
2,0.03530196243331657,0.00016140286081513537
3,0.016735811799416616,0.00011771863040525782
4,0.010448397569594757,0.000116427065492916
5,0.010035557134604656,9.51766917959588e-05
6,0.009324601931556372,8.640338866958432e-05
7,0.007337692216784216,6.477511329507736e-05
8,0.006830028622227818,0.00013686090188055544
9,0.006150786018021219,0.000101072600319635
10,0.0055466493041935626,5.674307200235409e-05
11,0.00525139880982506,6.11680938517403e-05
12,0.0044714497813277635,3.210419197924165e-05
13,0.00421877498778906,4.752352938155184e-05
14,0.003978469004659382,5.194233770641374e-05
15,0.0036766883460174643,3.626487335970084e-05
16,0.0033694800656332777,4.322143896551652e-05
17,0.0032021292921337557,5.2026546251635714e-05
18,0.0029660567285689707,4.232399943278697e-05
19,0.0028850612752117427,3.074114425760956e-05
20,0.002777537798005364,3.714034412210816e-05
21,0.0026567707331773206,3.632821310517774e-05
22,0.0025987333330316728,4.344726950963259e-05
23,0.002504890827803395,3.7909183750792345e-05
24,0.0024304897289646565,3.071143368338528e-05
25,0.002366037370125156,2.536607814808746e-05
26,0.0023094200104887847,2.5791387082638008e-05
27,0.0022699122096474056,2.619305697410144e-05
28,0.0022102854613339014,7.939059518034472e-06
29,0.0021860788186677704,8.32759431987236e-06
30,0.0021672295218532578,1.3076655073021504e-05
31,0.002153635588954473,1.55261397300058e-05
32,0.002141313993435984,1.4188575318060526e-05
33,0.0021276446702847983,1.4889111164878766e-05
34,0.0021140272208829557,9.369585401464098e-06
35,0.0021039575627553567,7.63756330063371e-06
36,0.0020962147819689604,9.457500384011088e-06
37,0.0020883948513095796,8.254611983536905e-06
38,0.00208051497259906,6.625041674613868e-06
39,0.0020722966928653527,7.339252339704556e-06
40,0.0020636144327976676,7.57954934273387e-06
41,0.0020542032193784005,9.186015481268096e-06
42,0.002045021484440806,7.486241289409276e-06
43,0.0020400457362463676,7.73541289102025e-06
44,0.00203529187601697,7.482940480605205e-06
45,0.0020299500214933383,7.0631864637094e-06
46,0.0020233922163164306,7.809955340410739e-06
47,0.002018343813087855,7.711691040951171e-06
48,0.002012199348292036,6.757815230515299e-06
49,0.0020051626659665016,7.465396951554036e-06
50,0.0019961355707071313,6.592659387879828e-06
51,0.0019910467373219043,7.798707027272971e-06
52,0.0019866976097237202,8.196012762071797e-06
53,0.001982509309044055,6.2740633950613736e-06
54,0.0019753286023362878,7.8568428331808e-06
55,0.0019704541593466495,9.34135330231992e-06
56,0.00196406825378511,6.656252765069925e-06
57,0.0019589378024092007,7.438137887878174e-06
58,0.0019559413357232596,8.526740892031996e-06
59,0.0019504936960833693,7.875544242153153e-06
60,0.001945965573143038,8.07908502931631e-06
61,0.0019396010172804902,7.539657743156374e-06
62,0.0019364758506285314,6.532174591324385e-06
63,0.0019324340019681884,7.793438385188024e-06
64,0.001927913178851465,7.928932517916387e-06
65,0.0019243873065516444,6.8930634030836255e-06
66,0.0019189671280750436,6.99786370071286e-06
67,0.0019130177848895003,8.575734270083112e-06
68,0.0019095495755116856,8.665765898437248e-06
69,0.0019048512457844344,7.369722076390903e-06
70,0.0018999929416856681,7.653697057857276e-06
71,0.0018951685959210968,7.845218197019985e-06
72,0.0018920459013134453,7.81810822264606e-06
73,0.0018871973895964792,8.35187047644708e-06
74,0.0018826107728837575,7.351815899730531e-06
75,0.0018786158890852953,7.887929657160616e-06
76,0.001875524407652552,7.375895366870118e-06
77,0.001872395807565838,8.40989802636798e-06
78,0.0018674587568843141,7.730968233794624e-06
79,0.0018635655989591568,7.114836666593097e-06
80,0.0018608440125724,7.918583404653344e-06
81,0.0018566086136988934,7.201389005741572e-06
82,0.001851846169002114,6.8143576844148096e-06
83,0.0018485353762733021,5.860433371729235e-06
84,0.0018454454969248069,6.716493247101062e-06
85,0.001842467187486541,6.820450967940032e-06
86,0.0018383609143317295,7.344482587592876e-06
87,0.0018343904533439218,5.839711132781298e-06
88,0.001830961875688754,6.46011707664641e-06
89,0.0018266752429007048,5.685063889016924e-06
90,0.0018230198673931395,6.175702510186596e-06
91,0.0018206813410517313,6.3084270927038785e-06
92,0.001816946374674706,6.7483611579569305e-06
93,0.0018127921256560892,5.78529684103685e-06
94,0.0018086705681583785,4.875394274852567e-06
95,0.0018047280774297996,4.779462428681984e-06
96,0.0018013659402221387,5.426593777060031e-06
97,0.0017986219659087992,5.211067926718761e-06
98,0.0017940951479062032,4.994373694127296e-06
99,0.0017920880273058876,5.252120686041872e-06
100,0.0017866506631576957,4.530744894720935e-06
101,0.0017833257287702656,4.119162294842388e-06
102,0.0017803819036287566,4.015575657721016e-06
103,0.001777016922569672,5.496420559244519e-06
104,0.001773891125674121,4.518509269979046e-06
105,0.0017709392135464002,4.278457763082635e-06
106,0.001767644961749726,4.123223600993544e-06
107,0.0017644959712979085,5.106501852090038e-06
108,0.0017607237842195015,5.066065147634042e-06
109,0.0017580420085141575,5.322272467358339e-06
110,0.0017548465569463528,5.225236395372779e-06
111,0.001751350497374548,4.611081760077148e-06
112,0.00174699729850567,5.592894314347745e-06
113,0.0017450659425344082,5.405186215388524e-06
114,0.0017419798517973898,4.660515143017183e-06
115,0.001740706298391259,3.956372378187076e-06
116,0.0017360311718941275,5.103302233185154e-06
117,0.0017322090009000914,5.622995397843152e-06
118,0.0017288171141389439,5.893713278975881e-06
119,0.0017259449729092892,5.55470850776651e-06
120,0.0017239321456611952,5.3677597276855866e-06
121,0.001720284901945555,5.306184874151568e-06
122,0.0017176465940864018,6.403885163160557e-06
123,0.0017145634246765193,6.09968984085336e-06
124,0.001710428223829508,6.835955779123751e-06
125,0.0017065421375877007,6.751330161817536e-06
126,0.0017036863348046528,5.253820399960422e-06
127,0.0017008193489998322,5.6408746349081165e-06
128,0.001696869578254276,5.067046622170502e-06
129,0.0016928822136383433,5.397614336241445e-06
130,0.0016906111615378123,5.623145744510371e-06
131,0.0016888336045002368,5.570846554760301e-06
132,0.0016855556844190469,4.433249240180022e-06
133,0.0016833452750317963,5.732324371607652e-06
134,0.0016802285669912129,4.822583132111054e-06
135,0.0016773807869668099,5.098128051017262e-06
136,0.001674702712839655,5.1074448371145455e-06
137,0.0016713093420119797,6.83130038033447e-06
138,0.0016675737610663,6.485958824599006e-06
139,0.0016650873354029693,6.710542668941951e-06
140,0.0016630390261504447,6.732035691715647e-06
141,0.0016603293473267835,7.05031169977228e-06
142,0.0016575758278567952,7.316260902383211e-06
143,0.0016547916175282537,6.418438261794121e-06
144,0.0016520469448808113,6.712614942800335e-06
145,0.0016494224397673454,7.0722070316053435e-06
146,0.0016461796690135846,6.911413417791363e-06
147,0.001642895724254941,6.510669545878157e-06
148,0.0016402846043363905,6.877408378519679e-06
149,0.0016373055110630364,7.41254304893888e-06
150,0.0016351005343510359,7.622650754587352e-06
151,0.0016320104761610352,6.67776833379825e-06
152,0.001628793480821738,6.517649825300579e-06
153,0.001626541112826221,6.439056417467843e-06
154,0.0016235611808863445,6.697581476717081e-06
155,0.001620515231939471,6.525973298666515e-06
156,0.0016174319277397322,6.419175791789694e-06
157,0.0016154778730861313,6.586605434261487e-06
158,0.0016127519527753687,6.194590357901677e-06
159,0.0016091006739965138,6.630807489750491e-06
160,0.0016065720050217462,6.64089810104144e-06
161,0.0016030715141067801,6.028556967185865e-06
162,0.0016004428355342784,5.871163729619601e-06
163,0.001597925022758731,6.901017992890738e-06
164,0.0015953051398045635,6.472559578599526e-06
165,0.001593341169900235,6.050663888385179e-06
166,0.0015908155843134565,5.713580736399776e-06
167,0.0015881403453975739,6.341594344198527e-06
168,0.0015857810907512042,6.212140819212364e-06
169,0.0015834769094857763,5.4240340822227526e-06
170,0.001580596408900185,5.360961859837356e-06
171,0.001577264408113457,5.543538497335856e-06
172,0.001575181677798753,5.459191043437271e-06
173,0.0015735808089047927,4.427111055816301e-06
174,0.001570952764878955,4.58994586433855e-06
175,0.0015678698720659847,4.663565706582753e-06
176,0.0015658355338197647,4.094227073292144e-06
177,0.0015625302530130614,4.856041739058375e-06
178,0.0015596130497481694,5.1480853116877735e-06
